Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteGmail,Chrome 113.0.0.0,,,2023-05-31 09:35:04,2023-05-31 09:36:54,"1m - 49,754s",PASSED
,,,,,,,
Test Cases/CasoConVariablesSinExcel/CasoWebConVariables,Chrome 113.0.0.0,,,2023-05-31 09:35:04,2023-05-31 09:35:24,"19,547s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 09:35:05,2023-05-31 09:35:08,"3,088s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-31 09:35:08,2023-05-31 09:35:13,"5,349s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 09:35:13,2023-05-31 09:35:14,"0,214s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-31 09:35:14,2023-05-31 09:35:14,"0,408s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-31 09:35:14,2023-05-31 09:35:15,"0,740s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-31 09:35:15,2023-05-31 09:35:17,"1,862s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), ""Juan Cruz Mouhape"")",Chrome 113.0.0.0,,,2023-05-31 09:35:17,2023-05-31 09:35:18,"0,914s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""pruebademo@gmail.com"")",Chrome 113.0.0.0,,,2023-05-31 09:35:18,2023-05-31 09:35:18,"0,906s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""Pasaje San Luis 252"")",Chrome 113.0.0.0,,,2023-05-31 09:35:18,2023-05-31 09:35:19,"0,820s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), ""Pasaje San Luis 252"")",Chrome 113.0.0.0,,,2023-05-31 09:35:19,2023-05-31 09:35:20,"0,860s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-31 09:35:20,2023-05-31 09:35:21,"0,478s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-31 09:35:21,2023-05-31 09:35:21,"0,448s",PASSED
